Technique;ATT&CK ID;IMG-1: App images are scanned for vulnerabilities;IMG-2: App uses minimal base images;IMG-3: App images are signed and verified;IMG-4: Dockerfiles of the app pin the base image version;IMG-5: App images are rebuilt and updated regularly;IMG-6: Device orchestration only uses trusted image registries;RTS-1: App containers are run as non-root user;RTS-2: App containers use read-only file systems;RTS-3: App containers are deployed with minimal Linux capabilities;RTS-4: Seccomp is implemented on the device;RTS-5: AppArmor is implemented on the device;RTS-6: SELinux is implemented on the device;RTS-7: App containers have minimal access to host resources;NET-1: App container networks are segmented;NET-2: Host-level firewall rules and network policies are applied;NET-3: Inter-container communication is encrypted;NET-4: Ingress/egress controls for containers are implemented;AUTH-1: Authentication for exposed container APIs is enforced;AUTH-2: Role-based access control is used for orchestration and container management;AUTH-3: Access to container management interfaces (e.g., Docker socket) is restricted;SCM-1: Secure secrets management tools (e.g. vaults or secrets manager) are used;SCM-2: Apps do not contain any hardcoded secrets;SCM-3: Secrets at rest and in transit are encrypted;SCM-4: Automatic secret rotation and revocation policies are implemented;HIS-1: The container runtime on the host device is up to date;HIS-2: The host device is deployed as an immutable infrastructure (e.g. read-only file system);HIS-3: The host device is monitored for unauthorized changes;MON-1: Container-level logging is enabled;MON-2: Processes on the host device are monitored for anomalous behavior;MON-3: Runtime security tools (e.g. Falco, Trivy) are used;MON-4: Incident response procedures are implemented;MON-5: Logs are centralized and protected;MON-6: Decoy containers (honeypots) are deployed on the device to detect malicious activity;MON-7: Container API calls and orchestration events are monitored for anomalies;MON-8: Alerts are triggered for unauthorized access attempts to container registries or APIs;CIC-1: The CI/CD pipeline for the app is secured (regarding code repositories, build environments, secrets, vulnerabilities, signing, auditing ...);CIC-2: SBOMs are used for the app to track code dependencies;CIC-3: Code reviews and automated testing of the app are enforced;CIC-4: Third-party components used by the app are validated;CIC-5: The CI/CD pipeline for the app enables reproducible builds;CIC-6: Apps for development and production are not deployed in the same environment;CRM-1: Regular risk assessments of apps and host devices are performed;CRM-2: The operation's asset inventory is maintained;CRM-3: Container security policies along the app lifecycle are documented and enforced;CRM-4: Periodic audits and reviews of apps and host devices are conducted;IMG-1 Exposure;IMG-2 Exposure;IMG-3 Exposure;IMG-4 Exposure;IMG-5 Exposure;IMG-6 Exposure;RTS-1 Exposure;RTS-2 Exposure;RTS-3 Exposure;RTS-4 Exposure;RTS-5 Exposure;RTS-6 Exposure;RTS-7 Exposure;NET-1 Exposure;NET-2 Exposure;NET-3 Exposure;NET-4 Exposure;AUTH-1 Exposure;AUTH-2 Exposure;AUTH-3 Exposure;SCM-1 Exposure;SCM-2 Exposure;SCM-3 Exposure;SCM-4 Exposure;HIS-1 Exposure;HIS-2 Exposure;HIS-3 Exposure;MON-1 Exposure;MON-2 Exposure;MON-3 Exposure;MON-4 Exposure;MON-5 Exposure;MON-6 Exposure;MON-7 Exposure;MON-8 Exposure;CIC-1 Exposure;CIC-2 Exposure;CIC-3 Exposure;CIC-4 Exposure;CIC-5 Exposure;CIC-6 Exposure;CRM-1 Exposure;CRM-2 Exposure;CRM-3 Exposure;CRM-4 Exposure
ContainerExploitPublicFacingApp;T1190;1;1;1;1;1;1;0;0;0;0;0;0;0;2;2;2;2;3;3;3;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;3;3;3;3;2;2;2;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1
ContainerDataFromLocalSystem;T1005;0;0;0;0;0;0;3;0;2;3;3;3;3;0;0;0;0;0;0;2;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;2;3;3;3;3;2;2;2;2;3;3;3;2;2;2;2;0;0;2;2;2;2;2;2;2;2;2;1;0;0;0;0;1;2;2;2;2
ContainerPtraceInjection;T1055.008;2;2;2;2;2;2;3;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;1;1;1;1
ContainerPtraceProcessDiscovery;T1057;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2
ContainerKernelModuleLoading;T1547.006;2;2;2;2;2;2;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;0;0;0;0;0;0;0;2;2;2;2;2;2;2;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;0;0;0;0
ContainerNetworkBridgeEvasion;T1599.001;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;0;0;0;0;0;0;0;3;3;3;3;2;2;2;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2
ContainerFirewallDisable;T1562.004;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;0;0;0;0;0;0;0;3;3;3;3;2;2;2;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2
ContainerCgroupResourceHijacking;T1496;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;1;1;1;1;3;3;3;3;3;3;0;0;0;0;0;0;0;2;2;2;2;2;2;2;0;0;0;0;1;2;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;1;1;1;1
ContainerCgroupDoS;T1499;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;1;1;1;1;3;3;3;3;3;3;0;0;0;0;0;0;0;2;2;2;2;2;2;2;0;0;0;0;1;2;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;1;1;1;1
ContainerPrivilegedPortTrafficCapture;T1040;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;1;1;1;1;1;1;0;0;0;0;0;0;0;2;2;2;2;0;3;3;0;0;0;0;2;0;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2
ContainerPrivilegedPortServiceImpersonation;T1556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;1;1;1;1;1;1;0;0;0;0;0;0;0;2;2;2;2;0;3;3;0;0;0;0;2;0;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2
ContainerPrivilegedPortNetworkDoS;T1498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;1;1;1;1;1;1;0;0;0;0;0;0;0;2;2;2;2;0;3;3;0;0;0;0;2;0;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2
ContainerLayer2MitM;T1557;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;3;3;3;3;2;2;2;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2
ContainerOTNetworkAttack;T1200;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;3;3;3;3;2;2;2;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2
ContainerSystemAdminEscape;T1611;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;0;0;0;1;1;1;1;2;2;2;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;2;2;2;3;3;3;3;3;3;0;0;0;0;0;0;0;3;3;3;3;2;2;2;0;0;0;0;0;0;2;3;3;3;3;3;3;3;3;1;1;1;1;1;1;2;2;2;2
