Assumption ID;Security Assumption Category;Security Assumption;Treatment ID;Treatment Description;Application Container Security Guide (NIST SP 800-190);CIS Docker Benchmark;OWASP Docker Top 10;OWASP Docker Security Cheat Sheet
IMG-1;Container Image Security;App images are scanned for vulnerabilities;ScanContainerImages;Perform vulnerability scanning on container images to identify and address security issues;§4.1.1;4.4;;#9, #13
IMG-2;Container Image Security;App uses minimal base images;UseMinimalBaseImages;Use minimal base images to reduce attack surface and container footprint;§4.1.2;4.3;D04;
IMG-3;Container Image Security;App images are signed and verified;SignAndVerifyImages;Sign and verify container images to ensure authenticity and integrity;§4.1.5;4.2, 4.5;D08;#13
IMG-4;Container Image Security;Dockerfiles of the app pin the base image version;PinBaseImageVersions;Pin base image versions in Dockerfiles to ensure reproducibility and control updates;.2.2;6.1;;#9
IMG-5;Container Image Security;App images are rebuilt and updated regularly;RebuildImagesRegularly;Rebuild and update container images regularly to address vulnerabilities and apply patches;§4.1.1;4.4, 5.28;D02;
IMG-6;Container Image Security;Device orchestration only uses trusted image registries;UseTrustedRegistries;Use only trusted and verified image registries for container deployment;§4.2;2.5, 4.5;D08;#13 
RTS-1;Runtime Security;App containers are run as non-root user;RunAsNonRootUser;Configure containers to run with non-root user privileges to limit potential damage;§4.1.2;4.1, 5.24, 5.31;D01;#2, #9, #11
RTS-2;Runtime Security;App containers use read-only file systems;EnableReadOnlyFilesystem;Mount container filesystem as read-only to prevent malicious file modifications;§4.4.4;5.13;D09;#8
RTS-3;Runtime Security;App containers are deployed with minimal Linux capabilities;MinimizeCapabilities;Deploy containers with minimal Linux capabilities to reduce attack surface;§4.4.3;4.8, 5.4;D04;#3
RTS-4;Runtime Security;Seccomp is implemented on the device;ImplementSeccomp;Implement Seccomp profiles to restrict system calls available to containers;§4.4.3;2.17, 5.22;D04;#6
RTS-5;Runtime Security;AppArmor is implemented on the device;ImplementAppArmor;Implement AppArmor profiles to enforce mandatory access control for containers;§4.4.3;5.2;D04;#6
RTS-6;Runtime Security;SELinux is implemented on the device;ImplementSELinux;Implement SELinux policies to provide mandatory access control for containers;§4.4.3;5.3;D04;#6
RTS-7;Runtime Security;App containers have minimal access to host resources;MinimizeHostResourceAccess;Minimize container access to host resources through proper isolation and restrictions;§4.4.3;5.6, 5.10, 5.11, 5.12, 5.16, 5.17, 5.18, 5.21, 5.25, 5.31;D07;#7, #11
AUTH-1;Authentication & Access;Authentication for exposed container APIs is enforced;EnforceAPIAuthentication;Enforce authentication mechanisms for all exposed container APIs;§4.3.2;2.7;D04;
AUTH-2;Authentication & Access;Role-based access control is used for orchestration and container management;ImplementRBAC;Implement role-based access control for container orchestration and management;§4.3.1;2.12;;
AUTH-3;Authentication & Access;Access to container management interfaces (e.g., Docker socket) is restricted;RestrictManagementAccess;Restrict access to container management interfaces to authorized users and processes;§4.3.1;3.3, 3.4, 3.23, 3.24, 5.32;;#1
